Feature,Importance
alcohol,0.30565357050733427
volatile acidity,0.13997046903391375
free sulfur dioxide,0.12424812254048866
pH,0.063166171647611
residual sugar,0.05951663576918611
fixed acidity,0.055067103494371855
total sulfur dioxide,0.052745319289585105
sulphates,0.05142995950998316
chlorides,0.05137143753292657
citric acid,0.0491542771915738
density,0.047676933483025624
